AQI,CO2,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
3,,337.12,0.0,12.0,45.42,1.49,28.89,32.69,1.62
2,,226.97,0.0,2.7,65.09,0.31,0.5,1.15,1.65
2,,220.3,0.0,0.73,80.82,0.23,0.5,1.52,0.44
2,,233.65,0.0,3.13,55.79,0.35,12.79,15.53,1.92
1,,236.99,0.0,2.57,44.35,0.14,5.5,8.08,0.74
1,,236.99,0.0,10.28,57.94,0.44,1.32,5.11,3.74
1,,250.34,0.0,4.37,46.49,0.61,9.93,11.01,0.93
2,,230.31,0.0,6.17,41.84,0.17,11.6,14.62,1.98
1,,233.65,0.0,15.25,58.65,0.89,1.77,6.83,3.96
2,,220.3,0.0,2.23,71.53,1.16,0.5,0.87,0.08
2,,226.97,0.0,2.91,62.94,0.22,0.5,1.26,2.63
1,,293.73,0.0,27.42,46.49,9.3,4.64,10.5,2.47
2,,223.64,0.0,2.06,69.38,0.18,0.5,1.3,2.69
1,,236.99,0.0,10.63,55.79,1.52,1.51,3.61,6.97
1,,230.31,0.0,13.37,52.21,0.5,1.46,6.29,5.19
1,,247.0,0.0,8.05,42.2,0.16,1.27,2.61,3.01
2,,233.65,0.0,3.43,62.94,0.34,2.89,4.74,0.81
2,,220.3,0.0,0.73,80.82,0.23,0.5,1.52,0.44
1,,230.31,0.0,12.0,56.51,0.43,1.48,6.49,4.37
2,,323.77,0.0,21.25,28.97,1.74,15.2,18.34,0.96
1,,230.31,0.1,11.48,16.99,0.36,5.18,7.37,1.19
2,,216.96,0.0,0.94,69.38,0.36,0.5,0.73,0.28
2,,233.65,0.0,18.17,61.51,2.21,2.09,8.21,2.76
2,,223.64,0.0,0.83,80.82,0.35,0.5,1.97,0.14
1,,267.03,0.05,14.57,27.54,0.31,2.44,4.41,4.5
1,,240.33,0.0,17.99,47.21,0.74,1.56,6.22,4.94
1,,277.04,0.0,8.82,55.08,7.87,5.43,8.81,1.5
1,,236.99,0.0,4.71,53.64,0.47,3.6,4.51,0.96
2,,226.97,0.0,1.52,84.4,0.51,0.5,1.35,0.6
1,,250.34,0.01,8.57,44.7,0.26,1.39,2.63,4.94
1,,273.71,0.02,14.22,33.62,0.31,2.68,4.47,2.63
2,,230.31,0.0,1.67,83.69,0.61,0.5,1.2,0.4
2,,297.07,0.0,8.57,74.39,1.7,21.45,25.0,1.19
1,,236.99,0.0,17.65,57.22,1.04,1.58,6.37,3.77
2,,250.34,0.0,9.0,37.19,2.27,14.57,20.19,2.88
1,,267.03,0.01,11.82,35.41,0.3,2.19,3.74,2.63
1,,236.99,0.0,16.62,57.22,1.01,1.82,6.9,3.9
1,,233.65,0.0,16.45,57.94,1.09,1.64,6.27,4.62
1,,257.02,0.0,12.17,57.94,0.95,1.58,2.5,6.46
3,,433.92,0.05,27.42,29.68,2.53,34.64,39.18,1.52
1,,250.34,0.0,22.96,44.35,3.34,2.56,6.79,2.69
2,,208.62,0.0,3.6,37.19,0.28,11.52,14.38,1.0
2,,220.3,0.0,1.32,67.23,0.29,0.5,0.87,0.71
1,,250.34,0.01,11.48,36.84,0.17,1.51,2.88,2.69
1,,250.34,0.01,8.57,44.7,0.26,1.39,2.63,4.94
1,,247.0,0.0,5.66,55.08,0.35,1.31,2.55,5.13
1,,247.0,0.0,8.05,42.2,0.16,1.27,2.61,3.01
1,,236.99,0.0,8.65,43.27,0.16,1.1,2.75,6.21
